,reviewTitle,reviewContent,rating,label,clean_teks
17949,Kipa Barange,"Packing.e Ipar Sam (Ndek njero bungkus sek onok plastik pletek2.e), barang.e normal, sulum, recommended seller pokok.e cuma pas ayas tuku sekitar 64,9k(free ongkir), saiki jadi 61,9k :p, pokok.e nuwus gawe cino.ne sing dodol, umak ngeten (y) pun.",5,1,packing e ipar sam njero bungkus sek onok plastik pletek e barang e normal sulum recommended jual pokok e pas ayas beli k free ongkir k p pokok e nuwus gawe cino ne sing dodol umak ngeten y
17951,ORIGINAL PRODUCT,"Jangan ragu untuk beli fd ,pesen jumat sabtu udh nyampe, barang bagus dan bekerja dengan baik, semoga awet! THX lazada !",5,1,ragu beli fd pesan jumat sabtu barang bagus moga awet terimakasih lazada
17952,MANTAP,"PRODUK TERBAIK,HARGA EKONOMIS,UNTUK INSTAL PUN HASILNYA MANIS,JANGAN LUPA UNTUK PESANAN SELANJUTNYA HARGANYA DI MANISKAN LAGI YAH..? BIAR JUALANNYA MAKIN LARIS MANIS, TERIMA KASIH UNTUK PENJUAL & LAZADANYA..",5,1,produk baik harga ekonomis instal hasil manis lupa pesan harga manis yah biar jual laris manis terima kasih jual lazadanya
17953,recomended syekali,"barang tidak ada cacat sma sekali, tapi kekurangannya storage nya bkn 16 gb tpi 14 gb, lebih teliti lagi yaa",5,1,barang cacat sma kurang storage nya gb gb teliti yaa
17955,Recommended,"Barangnya bagus bgt di flashdisknya sudah ada sandisk secure access dan pdf cara peggunaannya, prosesnya juga cepat hari ini pesan besoknya kurir sudah sms mau mengantar barang. Terimakasih pertama kali belanja online saya ga kapok:)",5,1,barang bagus banget flashdisknya sandisk secure access pdf peggunaannya proses cepat pesan besok kurir sms antar barang terimakasih kali belanja online kapok
17956,Quality Check,"Wihh barang sudah sampai LAZADA,  packing rapi,  mudah di buka,  dan bungkusnya juga menarik. Sekali lagi buat LAZADA terbaik.. mungkin nanti ada produk yang membangakan lagi. Thanks",5,1,wihh barang lazada packing rapi mudah buka bungkus tarik lazada baik produk membangakan terimakasih
17957,Sudah sampai,"Barang udah sampai, bagus sesuai pesanan dan bisa di pakai,, nyampenya jg cepet, thank's buat lazada dan seller",4,1,barang bagus sesuai pesan pakai nyampenya cepat thank s lazada jual
17958,Flashdisk dari Lazada: prima!!!,"Memuaskan: barang berfungsi baik, pengiriman cepat, proteksi sempurna. Usul: lebih baik lagi bila untuk proteksi barang pemakaian plastik minimal sehingga pencemaran lingkungan juga minimal.",5,1,muas barang fungsi kirim cepat proteksi sempurna usul proteksi barang pakai plastik minimal cemar lingkung minimal
17959,Barang Bagus,"Barang Original Sandisk.  Order malam, pagi langsung diantar. Harga yang hemat tapi kualitas ok. Packing ok. Kurir ok. Flasdisk berfungsi dengan baik.",5,1,barang original sandisk order malam pagi langsung antar harga hemat kualitas ok packing ok kurir ok flasdisk fungsi
17960,ORI BUKAN KW,"Barang ini ori bukan kw, gk nyesel beli disini meskipun isi 14,5GB kepake sistem 2,5GB ya wajar saja, Thanks Lazada",5,1,barang original kau sesal beli isi gb pakai sistem gb ya wajar terimakasih lazada
17968,puas sama layanannya,"barang oke, pelayanan pelanggan lazada juga oke, pas chat barang belum sampai padahal di status udah sampe langsung dibantu konfirmasi ke yg ngirim good",5,1,barang oke layan langgan lazada oke pas chat barang status langsung bantu konfirmasi kirim good
17969,Bagus,"Sudah 6 bulan dan masih awet, kapasotas sesuai yg tertera. Udah pernah kecemplung masih juga bisa dipakai dan file utuh. Cucok bngt",5,1,awet kapasotas sesuai tera cemplung pakai file utuh cocok bngt
17971,Sangat puas,"Pesan rabu sore, kamis pagi udah nyampe padahal saya di kalimantan. Hampir gak mungkin. Tapi beneran itu yh terjadi. Barangnya berfungsi dengan baik semoga awet.",5,1,pesan rabu sore kamis pagi kalimantan beneran yh barang fungsi moga awet
17973,Estimasi,Pesanan saya #3771354426 knp belum nympe ya padahal liat statusnya hrsnya bisa saya terima tgl 17januari 2018,2,0,pesan nympe ya lihat status terima tanggal januari
17974,Senang + kecewa dikit,Pengiriman cepat.. barang rapih no cacat .. tapi sayang kapasitas nya ga real .. seharusnya 16gb tapi isi nya 14.5gb..,5,1,kirim cepat barang rapih nomor cacat sayang kapasitas nya real gb isi nya gb
17975,Sandisk original 16gb,"Alhamdulillah hnya 1hri flashdisk'a lngsung smpe dg packing rapi srta kurir yg ramah.pkok'a top bgt deh puas real capacity 16gb dg hrga murh dpt yg bermerk Sandisk original 16gb.gx nyesel order di lazada brg'a bgus""original packing slalu rapih dg kurir yg slalu ramah.mksih Lazada.",5,1,alhamdulillah flashdisk a langsung packing rapi srta kurir ramah pokok a top banget deh puas real capacity gb harga murh bermerk sandisk original gb sesal order lazada barang a bgus original packing rapih kurir ramah terimakasih lazada
17976,Sangat memuaskan!!,"Produk berkualitas, pengiriman cepat tepat dan aman. Good product.. Good job. Tingkatkan terus kepuasan pelanggan! Harganya tambah murah terus...",5,1,produk kualitas kirim cepat aman good produk good job tingkat puas langgan harga murah
17977,"Packing rapih, barang aman dan original","Pesen malem, besok siangnya udah sampai.. gratis ongkir bayar ditempat ok banget pertahankan.. thanks lazada",5,1,pesan malam besok siang gratis ongkir bayar tempat ok banget tahan terimakasih lazada
17978,SanDisk Flashdisk Cruzer Blade CZ50 - 16GB,"Produk ORIGINAL, Aseli bgt dah, ini pembelian yg kesekiankalinya. Kurirnya Mantap,ramah Pesen jam 7 malam, sampe jam 7 pagi, Gileeee bener !! PUAS PUAS PUASSS",5,1,produk original aseli banget beli kesekiankalinya kurir mantap ramah pesan jam malam jam pagi gileeee bener puas puas puasss
17979,Barang Bagus,"Berulang kali order barang ini belum ada keluhan, barang awet dan speed transfer datanya lumayan cepat. Lazada adakan lagi beli 2 dengan discount 50% ditunggu promonya.",5,1,ulang kali order barang keluh barang awet speed transfer data lumayan cepat lazada adakan beli diskon tunggu promonya
17980,Overall good,"Barang sampai sesuai estimasi waktu pengiriman, packing sangat rapih dan bagus,barang yang dikirim sesuai deskripsi nggak ada cacatnya, thanks lazada",5,1,barang sesuai estimasi kirim packing rapih bagus barang kirim sesuai deskripsi cacat terimakasih lazada
17981,sanDisk Flashdisk cruzer Blade CZ50-16 GB OK !,"Produk yang bagus, saya sudah pakai beberapa cukup baik dan tahan lama , dilazada kalau lagi promo harganya OKE JUGA",5,1,produk bagus pakai tahan dilazada promo harga oke
17982,Ntaaaps,"Pesan nya jam 1 malam, sampai nya jam 1 siang nya... packing saking rapihnya sampe susah dibuka.. hhahaha Mantap dah...",5,1,pesan nya jam malam nya jam siang nya packing saking rapihnya susah buka hhahaha mantap
17983,ulasan produk,"maaf baru bisa coment, terima kasih lazada pengiriman barangnya cepat sekali... barangnya juga bagus, packingnya rapi... thanks LAZADA",4,1,maaf komen terima kasih lazada kirim barang cepat barang bagus packingnya rapi terimakasih lazada
18005,Top,"pengiriman cepat,, barang jg bagus n ori.. recommended seller.. puas belanja di Lazada,, thx jg bwt reseller.. 😀😀😀",5,1,kirim cepat barang bagus n original recommended jual puas belanja lazada terimakasih reseller
18006,mantap,"pengiriman bokeh pesen sekrg besok nyampe . tdi nya sempet deg""an karna takut gak ke baca sama komputer . ternyata bisa kebaca n lancar .  cuman aku beli 16 gb . tapi pas cek hanya 14.5gb.  tapi gpp.  overall bagus ! harga nya pun terjangkau",4,1,kirim bokeh pesan sekrg besok nya sempet deg an takut baca komputer baca n lancar beli gb pas cek gb tidak-apa-apa overall bagus harga nya jangkau
18007,"ISI HANYA 14,5 GB BUKAN 16 GB","Barang sudah sampai, proses paketnya bagus, tapi yang disayangkan kok hanya 14,5 GB saja bukan 16 GB yang sesuai di deskripsi. Sudah saya coba berulang kali format tetap saja 14,5 GB. Mohon di cek ulang sebelum kirim. Thanks",3,0,barang proses paket bagus sayang gb gb sesuai deskripsi coba ulang kali format gb mohon cek ulang kirim terimakasih
18008,pesanan sudah diterina,Dear seller pesanan sudah diterima.. bayar sabtu.. senin paket langsung diterima.. packing aman.. buble wrap... oke.deh..,5,1,dear jual pesan terima bayar sabtu senin paket langsung terima packing aman buble wrap oke deh
18009,good,"Brang asli bukan kw, hrga lebih murah dri toko retail, biasanya hrga sgitu cma dpt 8Gb. pengiriman cepat untuk  Jabodetabek. trims Lazada",5,1,brang asli kau harga murah toko retail harga segitu cma gb kirim cepat jabodetabek trims lazada
18010,Recommended,good working... langsung bisa d isi file video n musik buat anak2 saya... anak2 jadi senwng dech... makasi seller n Lazada..,5,1,good working langsung d isi file video n musik anak anak senwng dech makas jual n lazada
18011,flashdisk,"2 kali blanja di seller ini, yg pertama beli laptop,  dan kedua flashdisk ini... ga kecewa responnya cepat..barang datang packing kemasan baik...  brg berkualitas....",5,1,kali blanja jual beli laptop flashdisk kecewa responnya cepat barang packing kemas barang kualitas
18013,Glashdisk SanDisk 16 GB,"Produknya bagus, pembukus dengan bubble wrap, dan ada soft file dalam fd untuk garansi. Produk yang rekomendasi untuk dibeli. Harganya pun terjangkau dibanding pasaran.",5,1,produk bagus pembukus bubble wrap soft file fd garansi produk rekomendasi beli harga jangkau banding pasar
18014,bagus 👍👍👍,"barang nya bagus ,,sesaui dengan yg ada di aplikasi ,,mkasih  sedikit saran pengiramn agak telat 1hari ..",5,1,barang nya bagus sau aplikasi terimakasih saran pengiramn telat
18015,fast delivery,cepat sekali sampainya pdhal minggu atc trus senen siang sampe. tp blum coba flashdisknya dih. smoga awettt.,5,1,cepat sampai minggu atc senin siang coba flashdisknya dih moga awettt
18016,lumayan puas,katanya 16 gb tapi setelah di cek yg terbaca cuma 14 gb yg penting bisa berfungsi dengan baik semoga awet,4,1,gb cek baca gb fungsi moga awet
18017,Excellent!,"Pesan Malam, pagi datang, keren! Bener padahal bukan pesan Express, sampai kaget saya. Thanks Lazada",5,1,pesan malam pagi keren bener pesan express kaget terimakasih lazada
18018,Awet dan Real Capacity,"Sudah Setahun Lebih, Sudah 50an Komputer Yg diinstall ulang memakai flashdisk ini. Ampun deh WoW Banget Pokoknya.",5,1,tahun an komputer diinstall ulang pakai flashdisk ampun deh wow banget pokok
18019,lumayan,"bagus, packing rapi, cuman penyimpanan nya mentok di  14,59 GB saja😪 2 GB nya kemana?🤔 speed dari kartu memori ponsel ke flashdisk ini cuman mentok di 2mb per detik lewat kabel otg",4,1,bagus packing rapi simpan nya mentok gb gb nya mana speed kartu memori ponsel flashdisk mentok mbak detik kabel otg
18021,RECOMMENDED SELLER,"thanks flashdisk nya sangat membantu bgt dlm penunjang aktifitas2 saya.saran saya utk pembeli,bertanya lah sebelum membeli,karena namanya manusia g luput dari kesalahan yg mgkn byk ny pesanan,penjual jd lupa..jd lebih baik mengingatkan seller dulu lewat pertanyaan sbelum /sesudah memesan barang.jadi lah pembeli yang cerdas yang tidak termakan akan komenan2 orang yang menjelek2kan.terima kasih 👍👍👍 bintang 5 ⭐⭐⭐⭐⭐",5,1,terimakasih flashdisk nya bantu banget tunjang aktifitas saran beli beli nama manusia luput salah ny pesan jual lupa jual mes barang beli cerdas makan komenan orang jelek terima kasih bintang
18023,hm,coba ongkirnya kurangin dikit dong jangan ongkir lebih besar daripada harga barang saya ga liat harga deh kayanya ohiya makasii yaa bagus banget barangnya ori sukaaa dehh,4,1,coba ongkirnya kurang ongkir harga barang lihat harga deh kaya ohiya makasii yaa bagus banget barang original sukaaa dehh
18024,bagus,barang nya sangat bagus dan tidak mengecewakan. packing rapih dan harga lumayan murah. terima kasih lazada,5,1,barang nya bagus kecewa packing rapih harga lumayan murah terima kasih lazada
18025,Pujian untuk Lazada,"Alhamdulillah pelayanan Lazada Bagus , Barang sudah saya terima dalam waktu yg di janjikan, packing barang bagus, Flashdisk saya terima dalam keadaan baru, terimakasih Lazada, terus pertahankan pelayanan bagus ini, semoga Lazada semakin maju...",5,1,alhamdulillah layan lazada bagus barang terima janji packing barang bagus flashdisk terima terimakasih lazada tahan layan bagus moga lazada maju
18026,TOP BANGET,"barang sudah sampai dan sesuai pesanan, harga murah, packing oke, kurir LEX -nya ramah pula , thx lazada",5,1,barang sesuai pesan harga murah packing oke kurir lex nya ramah terimakasih lazada
18028,Siiiiip,"Pesanan sesuai dengan gambar dan bisa dipakai baik nonton film juga lainnya, direkomendasi deh, tks lazada.",5,1,pesan sesuai gambar pakai nonton film rekomendasi deh terimakasih lazada
18031,Cepat sampai,"Pengiriman sangat cepat, ga sampai sehari udah dikirim dan barang yang diterima bagus, packing rapi. Top deh pokoknya",5,1,kirim cepat hari kirim barang terima bagus packing rapi top deh pokok
18034,Sudah diterima dalam kondisi baik,Pesanan sudah diterima tadi sore. Packingannya sangat rapi dan dibungkus berlapis-lapis untuk memastikan produk dalam kondisi baik saat proses pengiriman. Produk juga sudah dicoba untuk digunakan.,5,1,pesan terima sore packingannya rapi bungkus lap lapis produk kondisi proses kirim produk coba
18035,stock lama,"sudah diterima, walau lewat dua hari dari estimasi, yang nganter ninja tapi ramah gak bawa pedang sama suriken, cuma barang stock lama dari kemasan yg agak lusuh, tapi barang berfungsi dengan baik",5,1,terima estimasi antar ninja ramah bawa pedang suriken barang sedia kemas lusuh barang fungsi
18036,"bermutu,.","barang ori,, sesuai spec,, pngriman jg expres,, krng dr 12jam sdh terima barang,,, mantap jiwa,,,😄😄",5,1,barang original sesuai spec pngriman expres krng jam terima barang mantap jiwa
18037,berkualitas dan cepat sampai,"pesen dua hari lalu, udh nyampe td pagi, lebih murah dari di toko toko, terbungkus rapi, dan berfungsi dengan baik, ada stempel aslinya tp tidak ada garansi aja, tpi okelah flashdisk nya",5,1,pesan pagi murah toko toko bungkus rapi fungsi stempel asli garansi oke flashdisk nya
18040,TOP,"Pengirimannya cepet. Baru hari sabtu pesen, senin udah nyampek. Ngerti banget kalo lagi butuh, hehe Barang oke, packing udah dikasih bubble wrap juga. Thanks Lazada",5,1,kirim cepat sabtu pesan senin nyampek ngerti banget butuh hehe barang oke packing kasih bubble wrap terimakasih lazada
18042,Murah tapi berkualitas,"Pesen flashdisk 16GB 2 buah, harganya lumayan murah kalo dibandingkan dengan online shop sejenis. Total 2 flashdisk hanya 138 ribu, ongkirnya gratis.",5,1,pesan flashdisk gb buah harga lumayan murah banding online shop jenis total flashdisk ribu ongkirnya gratis
18043,Barang Original,Barang original. Sandisk asli. GB nya sesuai. Barangnya diterima lebih cepat dari estimasi yang ditentukan^^,5,1,barang original sandisk asli gb nya sesuai barang terima cepat estimasi tentu
18044,Sedikit kurang bagus,"Isi memori nya cuma 14,5 GB, sedikit kecewa sih. Cuma, yaudah lah gapapa. Untung nya ukuran file nya gak terlalu gede, jadi gak harus beli flashdisk lagi..",3,0,isi memori nya gb kecewa sih ya apa untung nya ukur file nya beli flashdisk
18046,super cepat utk area Kalimantan,"Pesan hari sabtu,  hari minggu lgsg datang aq kira senin atau apalah soale pesimis karena weekend.  eh tiba2 kurir datang pagix. mantab deh barangx jg okeyh.",4,1,pesan sabtu minggu langsung senin apa soale pesimis weekend eh kurir pagix mantap deh barangx okeyh
18047,Syukaakkk,"Mantap sekali. Barangnya cepet dtng pesan kemarin, hari ini udh nyampe. Packingnya jg rapih banget ga ada cacat sama sekali. Dan fd nya ori😍 Pas dateng langsung di coba di laptop dan worth it banget!!!! Puas deh pokoknya. Terima kasih lazadaaaa😍",5,1,mantap barang cepat dtng pesan kemarin packingnya rapih banget cacat fd nya original pas langsung coba laptop worth it banget puas deh pokok terima kasih lazadaaaa
18050,sangat memuasjan,"Barang sampai lebih cepat dari yang di perkirakan, malam order, siang sampai, barang sesuai deskripsi, kondisi baik, paking rapi dan pelayanan ramah sekali, ini kali ketiga belanja di Lazada, semoga kedepannya makin banyak barang yang di jual, dan pelayanan bisa lebih baik, rekomended banget buat belanja di Lazada, sukses terus buat Lazada",5,1,barang cepat kira malam order siang barang sesuai deskripsi kondisi paking rapi layan ramah kali tiga belanja lazada moga depan barang jual layan rekomended banget belanja lazada sukses lazada
18051,puas,barang bekerja dengan baik. dan pengiriman sangat cepat minggu malam pesan senin datang. top untuk kurir lazada,5,1,barang kirim cepat minggu malam pesan senin top kurir lazada
18052,Bagus,"Bagus kak.yang banyak tanya kok cuma 14.5 gb itu tuh yang 1.5 gb nya buat instalasi update dari sandisk nya,pokonnya goood jobbb deh",5,1,bagus kak gb tuh gb nya instalasi update sandisk nya pokonnya goood jobbb deh
18053,Excellent,"good quality, good seller, good service and good everything.  semoga pelayanan kedepan nya lebih baik lagi thank you",5,1,good kualitas good jual good servis and good moga layan depan nya thank
18054,Mantapp!,"Barang sesuai Deskripsi.. Respon  & kirim barang dari sellernya juga cepat.. Pesan tadi malam,,besok siang nyampek Recomended bgt dah!",5,1,barang sesuai deskripsi respon kirim barang sellernya cepat pesan malam besok siang nyampek recomended banget
18055,Memuaskan,Recomended barang ori!!! Dan sampai lebih cepat dari estiminasi waktu!!! Overalll gooood !!!! Thankz lazada thankz selller!!!! Lain kali kalau mau beli lagi tak ragu dah!!,5,1,recomended barang original cepat estiminasi overalll gooood thankz lazada thankz selller kali beli ragu
18056,Worked,Barangnya sampai dengan selamat..tapi pas pertama nyoba beli ini gak sampe kerumah pas kedua kalinya baru deh sampe dan untungnya harga masih 60 rban pas beli..mantap lahh,5,1,barang selamat pas nyoba beli rumah pas kali deh untung harga rban pas beli mantap lahh
18057,Good Quality and Recomended,"Sangat recomended flashdisk ini,tapi pernah suatu ketika teman saya pinjam dan naksir flashdisk ini,hampir aja di embat sama dia bilangnya sihh karna penyimpanan nya besar dan bentuknya stylish.Tapi sekarang sudah kembali ke tangan saya Thanks Lazada dan seller nya",5,1,recomended flashdisk teman pinjam naksir flashdisk embat bilang sihh simpan nya bentuk stylish tangan terimakasih lazada jual nya
18059,Original,"Pas di cek capacity nya 14,5gb. Barang original💯, tapi gatau apa harga non diskon nya semahal itu(?)",5,1,pas cek capacity nya gb barang original tau harga non diskon nya mahal
18061,Error Status Pesanan,"Pesanan Benar Benar jauh dari perkiraan,menurut seller stok pesanan nya habis,namun dalam status pesanan Pesanan nya bertuliskan ""Dalam proses"" tidak bisa dibatalkan,namun tiba tiba sampai diluar waktu yang sudah ditentukan waduhh jadi gk kepake deh",3,0,pesan kira jual stok pesan nya habis status pesan pesan nya tulis proses batal luar tentu waduhh pakai deh
18062,Memuaskan,"Mantap barang bagus ori, packing rapi pesen kemaren besoknya langsung datang udah berkali-kali belanja di lazada gak nyesel",5,1,mantap barang bagus original packing rapi pesan kemaren besok langsung kali kali belanja lazada sesal
18063,Bagus n ori,"Bagus aki suka krn harga lebih murah 15k drpd toko sebelah juga pwngirimannya anjir gila cepet bgt ,kemasan rapi dan flash disk berjalan sempurna tpi sayank knp cuma 14.6 gb yg tersisa",5,1,bagus aki suka harga murah k toko belah pwngirimannya anjir gila cepat banget kemas rapi flash disk jalan sempurna sayank gb sisa
18064,Fast Sending,"Mantapp. Order minggu siang (kemarin) Baru nyampe nih barangnya, cuman sehari doang nyampe(bogor) Thx Lazada..",5,1,mantapp order minggu siang kemarin nih barang hari bogor terimakasih lazada
18069,Barang ori 100 % beneran.,"Barang ori 100 % beneran. Ada hologram dari datascript selaku distributor resmi sandisk di Indonesia. Packing rapi, respon cepat, pesan sabtu, hari senin sudah sampai. harga termurah dibanding yg lain. Pokoknya mantap, sesuai ekspetasi.",5,1,barang original beneran hologram datascript distributor resmi sandisk indonesia packing rapi respon cepat pesan sabtu senin harga murah banding pokok mantap sesuai ekspetasi
18070,Sipplahh,"Sama seperti ulasan sebelumnya. barangnya cepat sampainya, sebelum tgl yg tertera. packingnya rapih. barangnya juga masih dlm keadaan disegel. Thx,  atas pelayanannya :-))",5,1,ulas barang cepat sampai tanggal tera packingnya rapih barang segel terimakasih layan
18071,G R E A T,"Kurir cepat, safety packing, gaada cacat, overall tercover sampe ke jeroan2nya. Pas pertama pemakaian, file transfer cepat, kapasitas real, dan gaada kendala lainnya. Sandisk must be your first choice storage partners! thx juga utk Lazada",5,1,kurir cepat safety packing cacat overall tercover jeroan pas pakai file transfer cepat kapasitas real kendala sandisk must be your first choice storage partners terimakasih lazada
18072,Flasdisk 16 gb,Barang nya bagus.pengiriman super kilat dan murah....saya pesan tgl 30/01/2018 jam 3 sore eh tgl 31/01/2018 jam 10 udah nyampek barang nya...tpi satu si kurir nya agak jutek jadi saya kasih bintang 4 dulu aja lah....,5,1,barang nya bagus kirim super kilat murah pesan tanggal jam sore eh tanggal jam nyampek barang nya si kurir nya jutek kasih bintang
18073,Ntaps,"Lumayan sih 14,5 gb tapi nggak apa apa yang penting barang ok dibungkus juga ok, no VIRUS palingan cuman security lock doang tapi itu bukan virus  cuman buat ngamanin file doang. ok NO KW.    sayang nya nggak ada penutupnya wkwkwkwkwk",5,1,lumayan sih gb barang ok bungkus ok nomor virus paling aman lock virus ngamanin file ok nomor kau sayang nya tutup wkwkwkwkwk
18078,Cepat sampai,"Harga murah,kualitas barang mantap dan Barang cepat sampai pesan malam tgl 13 nyampe tgl 14 siang.untuk kapasitas nya 14,5",5,1,harga murah kualitas barang mantap barang cepat pesan malam tanggal tanggal siang kapasitas nya
18079,memuaskan,alhamdulillah pesan kemarin hari ini sudah sampai barang nya original pula bukan kw. packing nya rapi banget.,5,1,alhamdulillah pesan kemarin barang nya original kau packing nya rapi banget
18080,Recomended,"Segala proses bagus baik packing dan keasliannya. Masih tersegel rapi. Pengirimannya juga cepat. Setelah di gunakan berfungsi baik, cepat responnya. Thanks lazada. Thanks seller. Tingkatkan terus dan jaga kepercayaan konsumen.",5,1,proses bagus packing asli segel rapi kirim cepat fungsi cepat responnya terimakasih lazada terimakasih jual tingkat jaga percaya konsumen
18081,Memuaskan,"Barang cepat sampai, barang yang sudah diterima asli. Tidak ada kerusakan apapun. Terima kasih seller dan Lazada",5,1,barang cepat barang terima asli rusa apa terima kasih jual lazada
18082,Nice,"Barangnya nyampe ya agak lama sih. Tpi gapapa. Trus barangnya juga berfungsi dengan kapasitas 14,5 GB. Kecepatannya sih biasa aja, karna memang kayak gitu. Thank youu",4,1,barang ya sih apa barang fungsi kapasitas gb cepat sih thank youu
18083,Sangat memuaskan,"Saya pesan tgl 9 nopember, diterima tgl 10 nopember. Kurir nya ramah, barangnyaa asli, bagus, gk bohongan, pas dengan harganya. Terima kasih ya LAZADA dan penjual(:",5,1,pesan tanggal nopember terima tanggal nopember kurir nya ramah barangnyaa asli bagus bohong pas harga terima kasih ya lazada jual
18084,Barang segel utuh ori,"Mantap gan,harga murah mantap,packing mantap,barang mantap,segel ori mantap,seller mantap,lazada mantap,semuanya mantap,pokoknya mantap gan",5,1,mantap juragan harga murah mantap packing mantap barang mantap segel original mantap jual mantap lazada mantap mantap pokok mantap juragan
18085,Empat Bintang,"Barang sudah sampai, dsni tulisannya 16gb tp setelah di cek hanya 14gb. Tp gak ada masalah, thank's lazada",4,1,barang tulis gb cek gb thank s lazada
18086,TOP BANGET,"Malem order, besok sore udah dateng paketannya, pokoknya Lazada emang top, barang juga bagus, thanks seller, thanks Lazada",5,1,malam order besok sore paket pokok lazada emang top barang bagus terimakasih jual terimakasih lazada
18087,recomended pisan,packing rapi berlipat plastik bubble dan safe. order ke wilayah cileunyi pesen tanggal 2 barang sampe tanggal 4 siiip lah. nuhun,5,1,packing rapi lipat plastik bubble safe order wilayah cileunyi pesan tanggal barang tanggal siiip nuhun
18088,Bagus tapi tidak sempurna,"Barangnya cepet banget sampai, flashdisk jugak berfungsi dengan baik, terdapat security vaultnya juga, cuman ya karena ini flashdisk 16 GB jadi hitung hitungan bytes dalam komputernya lumayan banyak jadinya kurang jadi cuman tersedia 14,5 GB",5,1,barang cepat banget flashdisk fungsi aman vaultnya ya flashdisk gb hitung hitung bytes komputer lumayan sedia gb
18089,Recommended!!!,Barang bagus. Packing muantap pake bubble wrap. Malam pesan besok siang udah datang. Pokoknya muantap.,5,1,barang bagus packing muantap pakai bubble wrap malam pesan besok siang pokok muantap
18093,Recommended,Barang original sandisk  Isi 14gb 2gb untuk system  Kecepatan transfer max 5MBps. Pengirimannya cepat 1 hari besoknya sampai Top lah,5,1,barang original sandisk isi gb gb system cepat transfer maksimal mbps kirim cepat besok top
18094,Kemana pesanan saya,"Baru kali ini pesanan saya gak dateng2, padahal sebelum2 nya lancar jaya. Tolong dong di perhatikan, klo emang barang redy kirim dong. Klo emang gk ada barang nya tolong di cencel langasung.",1,0,kali pesan nya lancar jaya tolong perhati emang barang redy kirim emang barang nya tolong cencel langasung
18095,Tepat Waktu,"Barang udah sampai sesuai estimasi waktu pengiriman. Barang dikemas dengan rapi, semoga bisa tahan lama. Terima kasih Penjual dan Lazada",5,1,barang sesuai estimasi kirim barang kemas rapi moga tahan terima kasih jual lazada
18096,GOOD,"Barang bagus sesuai deskripsi,packing rapi,datang sesuai estimasi. pokok e joss tenan Semoga awet......",5,1,barang bagus sesuai deskripsi packing rapi sesuai estimasi pokok e joss tenan moga awet
18097,Flashdisk rusak,"Najong masa flashdisknya rusak baru sekali bisa di pindahin dokumen. Eh pas mau mindahin lagi malah gabisa, mau delete aja gabisa",1,0,najong flashdisknya rusak pindahin dokumen eh pas mindahin delete
18098,WOW,"Mantap gan. Cepet kok, secepat saya melupakan cinta yg hilang. Uhuuukkkkk. Tapi isinya gak sampe 16gb. Cuman 14,5 gb. Gak muat buat nyimpen semua kenangan mantan 6thn pacaran.",5,1,mantap juragan cepat cepat lupa cinta hilang uhuuukkkkk isi gb gb muat nyimpen kenang mantan pacar
18099,Bagus!,"Barang sudah diterima,  cuma nunggu 1 hari barang sudah datang. Flashdisk Ori tanpa cacat. Kapasitas hanya berkurang sedikit. Packing bagus dan Terimakasih lazada :)",5,1,barang terima nunggu barang flashdisk original cacat kapasitas kurang packing bagus terimakasih lazada
18100,Memuaskan,Saya si merasa kasiihan klo yg dikirim pakai lex emng cepat si tapi mereka itu dari cimanggis depok kasian jauh rumah di bekasi saya kasih uang lebih aja buat petugas lex nya haha,5,1,si kasiihan kirim pakai lex emang cepat si cimanggis depok kasihan rumah bekas kasih uang tugas lex nya haha
18101,Memuaskan,"Barang sampai sesuai estimasi. Barang bagus sesuai gambar tidak ada cacat dan langsung dicoba bisa berfungsi dgn baik, semoga awet.",5,1,barang sesuai estimasi barang bagus sesuai gambar cacat langsung coba fungsi moga awet
18102,Mantap,Barang sesuai deskipsi. Harga murah kualitas bagus walaupun isinya 16GB kurang dikit. Tapi tetep bagus. Terbaiklah!,5,1,barang sesuai deskipsi harga murah kualitas bagus isi gb bagus baik
18103,Mantap,"Barang bagus, packingan rapi dan aman terkendali tp sayang estimasi waktu pengantarannya di terima di akhir2 tgl pengiriman sampai.",4,1,barang bagus packingan rapi aman kendali sayang estimasi antar terima tanggal kirim
18104,FLASHDISK YANG TERIMA CUMAN 14GB,Saya kecewa sama barang Ini di situ tertera 16GB tapi pas saya beli di bungkusannya memang 16GB tpi pas saya di cek di laptop saya cuman ada 14GB kzllll......,1,0,kecewa barang situ tera gb pas beli bungkus gb pas cek laptop gb kzllll
18105,banyak bad sector,"Selain lambat diaksesnya, banyak bad sector sehingga perlu diformat dulu sebelum dipakai. Beli 5 unit hanya 1 unit yang sempurna.",3,0,lambat akses bad sector format pakai beli unit unit sempurna
18106,Selalu memuaskan,"Selama ini saya belanja di lazada ga pernah kecewa.. barang"" selalu sampai tepat cepat dan datang dengan packing yg rapi. Thanks ya",5,1,belanja lazada kecewa barang cepat packing rapi terimakasih ya
18107,Super Puass...,"Pengiriman cepat banget..  1hari sampai.. packing rapi..  Pengirim ramah.. Pokonya LAZADA NO 1 ONLINE SHOP di Indonesia,:",5,1,kirim cepat banget packing rapi kirim ramah poko lazada nomor online shop indonesia
